Count,Name,Sex,Age,Height,Weight,Team,Games,Season,Event,Medal,BMI
9568,Lothar Hause,M,24,182,79,East Germany,1980 Summer,Summer,Football Men's Football,Silver,24
9569,"Eduard ""Edi"" Hauser",M,23,172,57,Switzerland,1972 Winter,Winter,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,19
9570,Jan Hauser,M,25,187,80,Switzerland,2010 Winter,Winter,Curling Men's Curling,Bronze,23
9571,Simone Hye-Soon Hauswald (Denkinger-),F,30,168,56,Germany,2010 Winter,Winter,Biathlon Women's 12.5 kilometres Mass Start,Bronze,20
9572,Simone Hye-Soon Hauswald (Denkinger-),F,30,168,56,Germany,2010 Winter,Winter,Biathlon Women's 4 x 6 kilometres Relay,Bronze,20
9573,Kroly Hauszler,M,28,192,94,Hungary,1980 Summer,Summer,Water Polo Men's Water Polo,Bronze,25
9574,Matti Antero Hautamki,M,20,177,64,Finland,2002 Winter,Winter,"Ski Jumping Men's Large Hill, Individual",Bronze,20
9575,Matti Antero Hautamki,M,20,177,64,Finland,2002 Winter,Winter,"Ski Jumping Men's Large Hill, Team",Silver,20
9576,Matti Antero Hautamki,M,24,177,64,Finland,2006 Winter,Winter,"Ski Jumping Men's Normal Hill, Individual",Silver,20
9577,Matti Antero Hautamki,M,24,177,64,Finland,2006 Winter,Winter,"Ski Jumping Men's Large Hill, Team",Silver,20
9578,Daniel Havel,M,20,178,79,Czech Republic,2012 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,25
9579,Daniel Havel,M,24,178,79,Czech Republic,2016 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,25
9580,Jan Havel,M,25,174,80,Czechoslovakia,1968 Winter,Winter,Ice Hockey Men's Ice Hockey,Silver,26
9581,Anders Niclas Hvelid,M,32,182,90,Sweden,2006 Winter,Winter,Ice Hockey Men's Ice Hockey,Gold,27
9582,Frank Benjamin Havens,M,23,188,89,United States,1948 Summer,Summer,"Canoeing Men's Canadian Singles, 10,000 metres",Silver,25
9583,Frank Benjamin Havens,M,27,188,89,United States,1952 Summer,Summer,"Canoeing Men's Canadian Singles, 10,000 metres",Gold,25
9584,Rechelle Margaret Hawkes,F,21,165,57,Australia,1988 Summer,Summer,Hockey Women's Hockey,Gold,21
9585,Rechelle Margaret Hawkes,F,29,165,57,Australia,1996 Summer,Summer,Hockey Women's Hockey,Gold,21
9586,Rechelle Margaret Hawkes,F,33,165,57,Australia,2000 Summer,Summer,Hockey Women's Hockey,Gold,21
9587,"Hersey R. Hawkins, Jr.",M,22,190,86,United States,1988 Summer,Summer,Basketball Men's Basketball,Bronze,24
9588,Martin William Hawkins (Hakansson-),M,24,175,68,United States,1912 Summer,Summer,Athletics Men's 110 metres Hurdles,Bronze,22
9589,Cheryl Ann Haworth,F,17,175,136,United States,2000 Summer,Summer,Weightlifting Women's Super-Heavyweight,Bronze,44
9590,Ren Hayakawa,F,24,179,65,Japan,2012 Summer,Summer,Archery Women's Team,Bronze,20
9591,Zafar Hayat,M,37,181,82,Pakistan,1964 Summer,Summer,Hockey Men's Hockey,Silver,25
9592,Takuji Hayata,M,24,160,58,Japan,1964 Summer,Summer,Gymnastics Men's Team All-Around,Gold,23
9593,Takuji Hayata,M,24,160,58,Japan,1964 Summer,Summer,Gymnastics Men's Rings,Gold,23
9594,Michael Haybck,M,22,182,65,Austria,2014 Winter,Winter,"Ski Jumping Men's Large Hill, Team",Silver,20
9595,Sayed Ali Akbar Haydari,M,23,165,52,Iran,1964 Summer,Summer,"Wrestling Men's Flyweight, Freestyle",Bronze,19
9596,Brent Matthew Hayden,M,28,193,86,Canada,2012 Summer,Summer,Swimming Men's 100 metres Freestyle,Bronze,23
9597,"Robert Lee ""Bob"" Hayes",M,21,183,86,United States,1964 Summer,Summer,Athletics Men's 100 metres,Gold,26
9598,"Robert Lee ""Bob"" Hayes",M,21,183,86,United States,1964 Summer,Summer,Athletics Men's 4 x 100 metres Relay,Gold,26
9599,Brittany Hayes,F,23,170,72,United States,2008 Summer,Summer,Water Polo Women's Water Polo,Silver,25
9600,Lawrence Bruce Hayes,M,21,183,73,United States,1984 Summer,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,22
9601,Joanna Dove Hayes,F,27,167,58,United States,2004 Summer,Summer,Athletics Women's 100 metres Hurdles,Gold,21
9602,"John Joseph ""Johnny"" Hayes",M,22,162,55,United States,1908 Summer,Summer,Athletics Men's Marathon,Gold,21
9603,Neville Ronald Hayes,M,16,183,80,Australia,1960 Summer,Summer,Swimming Men's 200 metres Butterfly,Silver,24
9604,Neville Ronald Hayes,M,16,183,80,Australia,1960 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Silver,24
9605,"Robert John ""Rob"" Hayles",M,31,188,80,Great Britain,2004 Summer,Summer,"Cycling Men's Team Pursuit, 4,000 metres",Silver,23
9606,"Robert John ""Rob"" Hayles",M,31,188,80,Great Britain,2004 Summer,Summer,Cycling Men's Madison,Bronze,23
9607,Brett Ronald Hayman,M,28,165,54,Australia,2000 Summer,Summer,Rowing Men's Coxed Eights,Silver,20
9608,Akeem Haynes,M,24,170,73,Canada,2016 Summer,Summer,Athletics Men's 4 x 100 metres Relay,Bronze,25
9609,Sos Hayrapetyan,M,20,176,76,Soviet Union,1980 Summer,Summer,Hockey Men's Hockey,Bronze,25
9610,Todd Dennys Hays,M,32,190,107,United States-1,2002 Winter,Winter,Bobsleigh Men's Four,Silver,30
9611,Spencer Haywood,M,19,203,102,United States,1968 Summer,Summer,Basketball Men's Basketball,Gold,25
9612,"Walter Raphael ""Walt"" Hazzard",M,22,191,91,United States,1964 Summer,Summer,Basketball Men's Basketball,Gold,25
9613,He Chong,M,21,169,69,China,2008 Summer,Summer,Diving Men's Springboard,Gold,24
9614,He Chong,M,25,169,69,China,2012 Summer,Summer,Diving Men's Springboard,Bronze,24
9615,He Hanbin,M,22,180,80,China-1,2008 Summer,Summer,Badminton Mixed Doubles,Bronze,25
9616,He Jianping,F,21,165,65,China,1984 Summer,Summer,Handball Women's Handball,Bronze,24
9617,He Jun,F,23,178,68,China,1992 Summer,Summer,Basketball Women's Basketball,Silver,21
9618,He Kexin,F,16,142,33,China,2008 Summer,Summer,Gymnastics Women's Team All-Around,Gold,16
9619,He Kexin,F,16,142,33,China,2008 Summer,Summer,Gymnastics Women's Uneven Bars,Gold,16
9620,He Kexin,F,20,142,33,China,2012 Summer,Summer,Gymnastics Women's Uneven Bars,Silver,16
9621,He Liping,F,23,174,68,China,1996 Summer,Summer,Softball Women's Softball,Silver,22
9622,He Qi,F,22,178,68,China,1996 Summer,Summer,Volleyball Women's Volleyball,Silver,21
9623,He Wenna,F,19,160,50,China,2008 Summer,Summer,Trampolining Women's Individual,Gold,20
9624,He Wenna,F,23,160,50,China,2012 Summer,Summer,Trampolining Women's Individual,Bronze,20
9625,He Yanwen,F,21,175,73,China,1988 Summer,Summer,Rowing Women's Coxed Eights,Bronze,24
9626,He Ying,F,19,170,68,China,1996 Summer,Summer,Archery Women's Individual,Silver,24
9627,He Ying,F,27,170,68,China,2004 Summer,Summer,Archery Women's Team,Silver,24
9628,He Yingqiang,M,23,160,60,China,1988 Summer,Summer,Weightlifting Men's Bantamweight,Silver,23
9629,He Yingqiang,M,27,160,60,China,1992 Summer,Summer,Weightlifting Men's Featherweight,Bronze,23
9630,He Zhuoqiang,M,21,150,54,China,1988 Summer,Summer,Weightlifting Men's Flyweight,Bronze,24
9631,He Zi,F,21,159,51,China,2012 Summer,Summer,Diving Women's Springboard,Silver,20
9632,He Zi,F,21,159,51,China,2012 Summer,Summer,Diving Women's Synchronized Springboard,Gold,20
9633,He Zi,F,25,159,51,China,2016 Summer,Summer,Diving Women's Springboard,Silver,20
9634,"Donald Charles ""Don"" Head",M,26,178,91,Canada,1960 Winter,Winter,Ice Hockey Men's Ice Hockey,Silver,29
9635,Maaike Christiane Head,F,32,173,59,Netherlands,2016 Summer,Summer,Rowing Women's Lightweight Double Sculls,Gold,20
9636,"Patricia Sue ""Pat"" Head (-Summitt)",F,24,178,70,United States,1976 Summer,Summer,Basketball Women's Basketball,Silver,22
9637,George Albert Healis,M,21,188,78,United States,1928 Summer,Summer,Rowing Men's Coxless Fours,Silver,22
9638,Pamela Katherine Healy,F,29,175,66,United States,1992 Summer,Summer,Sailing Women's Two Person Dinghy,Bronze,22
9639,Shane Timothy Heams,M,24,182,79,United States,2000 Summer,Summer,Baseball Men's Baseball,Gold,24
9640,Geraldine Anne Heaney,F,30,173,64,Canada,1998 Winter,Winter,Ice Hockey Women's Ice Hockey,Silver,21
9641,Geraldine Anne Heaney,F,34,173,64,Canada,2002 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,21
9642,"Susan Christina ""Sue"" Hearnshaw (-Telfer)",F,23,178,67,Great Britain,1984 Summer,Summer,Athletics Women's Long Jump,Bronze,21
9643,Liam Nicholas Heath,M,27,182,81,Great Britain,2012 Summer,Summer,"Canoeing Men's Kayak Doubles, 200 metres",Bronze,24
9644,Liam Nicholas Heath,M,31,182,81,Great Britain,2016 Summer,Summer,"Canoeing Men's Kayak Singles, 200 metres",Gold,24
9645,Liam Nicholas Heath,M,31,182,81,Great Britain,2016 Summer,Summer,"Canoeing Men's Kayak Doubles, 200 metres",Silver,24
9646,"Michael Steward ""Mike"" Heath",M,20,183,77,United States,1984 Summer,Summer,Swimming Men's 200 metres Freestyle,Silver,23
9647,"Michael Steward ""Mike"" Heath",M,20,183,77,United States,1984 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,23
9648,"Michael Steward ""Mike"" Heath",M,20,183,77,United States,1984 Summer,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,23
9649,"Michael Steward ""Mike"" Heath",M,20,183,77,United States,1984 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Gold,23
9650,Tobin Powell Heath,F,20,168,59,United States,2008 Summer,Summer,Football Women's Football,Gold,21
9651,Tobin Powell Heath,F,24,168,59,United States,2012 Summer,Summer,Football Women's Football,Gold,21
9652,Alastair Heathcote,M,30,191,92,Great Britain,2008 Summer,Summer,Rowing Men's Coxed Eights,Silver,25
9653,Benjamin Basil Heatley,M,30,173,66,Great Britain,1964 Summer,Summer,Athletics Men's Marathon,Silver,22
9654,"Daniel James ""Dany"" Heatley",M,29,191,97,Canada,2010 Winter,Winter,Ice Hockey Men's Ice Hockey,Gold,27
9655,Zdravko Hebel,M,25,187,87,Yugoslavia,1968 Summer,Summer,Water Polo Men's Water Polo,Gold,25
9656,Philippe Louis Marius Hbrle,M,21,179,70,France,1984 Summer,Summer,"Shooting Men's Air Rifle, 10 metres",Gold,22
9657,"Benjamin ""Ben"" Hebert",M,26,180,94,Canada,2010 Winter,Winter,Curling Men's Curling,Gold,29
9658,Duvall Young Hecht,M,26,188,84,United States,1956 Summer,Summer,Rowing Men's Coxless Pairs,Gold,24
9659,Albert Hedderich,M,26,190,94,West Germany,1984 Summer,Summer,Rowing Men's Quadruple Sculls,Gold,26
9660,Kathleen Joan Heddle,F,26,180,72,Canada,1992 Summer,Summer,Rowing Women's Coxless Pairs,Gold,22
9661,Kathleen Joan Heddle,F,26,180,72,Canada,1992 Summer,Summer,Rowing Women's Coxed Eights,Gold,22
9662,Kathleen Joan Heddle,F,30,180,72,Canada,1996 Summer,Summer,Rowing Women's Double Sculls,Gold,22
9663,Kathleen Joan Heddle,F,30,180,72,Canada,1996 Summer,Summer,Rowing Women's Quadruple Sculls,Bronze,22
9664,Whitney Lynn Hedgepeth (-Luther),F,25,178,64,United States,1996 Summer,Summer,Swimming Women's 100 metres Backstroke,Silver,20
9665,Whitney Lynn Hedgepeth (-Luther),F,25,178,64,United States,1996 Summer,Summer,Swimming Women's 200 metres Backstroke,Silver,20
9666,Whitney Lynn Hedgepeth (-Luther),F,25,178,64,United States,1996 Summer,Summer,Swimming Women's 4 x 100 metres Medley Relay,Gold,20
9667,"Benjamin Van Doren ""Ben"" Hedges, Jr.",M,20,185,66,United States,1928 Summer,Summer,Athletics Men's High Jump,Silver,19
9668,Gunnar Robert Hedin,M,26,198,97,Sweden,1992 Summer,Summer,Handball Men's Handball,Silver,25
9669,Gunnar Robert Hedin,M,30,198,97,Sweden,1996 Summer,Summer,Handball Men's Handball,Silver,25
9670,Chad Paul Hedrick,M,28,180,76,United States,2006 Winter,Winter,"Speed Skating Men's 1,500 metres",Bronze,23
